total_rec_late_fee,recoveries,last_pymnt_amnt,loan_amnt_div_instlmnt,debt_settlement_flag,loan_age,total_rec_int,out_prncp,time_since_last_credit_pull,time_since_last_payment,int_rate%,total_rec_prncp,loan_status_binary
0.0,0.0,34807.99903146618,12.0,0,27,112341.49807657047,0.0,1,1,9.14,330789.48833414953,1
181.5638908328591,1128.320944062497,1.4242064764472817,48.0,0,36,97007.3,580757.3612363924,4,20,8.6,271202.531153984,0
0.0,0.0,26846.046903751027,36.0,0,48,122302.76502150152,244241.6554922627,6,1,14.18,484041.8617119006,1
314.33661322260826,1267.0023367699569,31.247399296615207,24.0,0,35,32074.600000000002,193232.68107419458,6,33,22.57,88334.92860794683,0
0.0,0.0,39655.34097483741,24.0,0,8,113937.35210718926,0.0,5,0,17.5,607667.0110185393,1
217.34767290635878,843.9698427705986,27.794430621723755,36.0,0,46,25804.2,0.0,38,35,25.42,79428.74338916662,0
291.01961158128046,471.1273538006875,27.64906191219213,36.0,0,25,34445.0,0.0,4,23,24.8,65015.401722480914,0
0.0,0.0,6457.034502287844,12.0,0,3,18698.05469088887,61179.25547554092,10,0,11.85,75360.7934321805,1
0.0,0.0,34656.52144642695,24.0,0,52,140066.10420163497,303053.7752284256,1,1,10.2,570959.2420290235,1
0.0,0.0,17540.199214445336,60.0,0,20,123887.82069620922,0.0,4,1,16.9,828586.7580341337,1
204.04585402433943,905.8606852774031,22.5994186766875,48.0,0,54,73328.6,0.0,2,36,22.62,204357.30735463236,0
0.0,0.0,4587.142592061477,60.0,0,53,49446.79295362631,0.0,7,0,14.72,208680.85944187516,1
0.0,0.0,7376.27138512236,48.0,0,53,105990.00312995614,244027.64181357133,44,0,7.45,348279.13925473724,1
0.0,0.0,11635.995209057643,60.0,0,46,122325.8889851166,297423.43635212746,11,0,8.79,557981.4704190964,1
0.0,0.0,5810.3012625581405,24.0,0,47,17373.227956168463,0.0,2,1,15.65,108942.79705757303,1
0.0,0.0,71277.63250254738,12.0,0,55,198257.11431677462,182839.58937279353,8,1,12.05,581175.6585202956,1
312.4973420676384,876.2052145706991,49.25463753150876,48.0,1,5,96394.40000000001,624998.8643754387,9,21,24.07,128021.71939444015,0
0.0,0.0,16636.08679669037,36.0,0,39,111009.88612038086,0.0,4,1,21.96,397616.1126980715,1
244.51932011896773,1972.467577486107,28.713285142511875,24.0,0,25,36969.0,0.0,7,26,19.47,105468.90282422774,0
0.0,0.0,10938.923064721146,48.0,0,21,53538.767232788174,270640.93030930666,2,0,19.1,338685.0301746803,1
238.62737810446467,514.4893524149551,40.033352853040334,48.0,0,47,78054.2,0.0,8,32,24.69,143464.6205107808,0
235.60382144479763,389.4928062261478,1.7419295714520444,48.0,1,35,18676.600000000002,61992.27088517848,6,9,14.2,68340.21841369958,0
0.0,0.0,80084.20395793687,12.0,0,31,184754.16525281343,384420.4840558062,5,1,20.62,671392.9549994196,1
0.0,0.0,25267.712613617186,36.0,0,23,224448.8420710653,469860.00855994964,8,1,21.64,655285.1886955425,1
0.0,0.0,22531.191664939335,48.0,0,38,122295.57828862168,201801.3581280156,37,0,21.94,819973.741528203,1
0.0,0.0,13118.27568433749,60.0,0,48,114409.63775837954,0.0,7,1,19.73,639761.7303940098,1
408.5006522571528,431.20969816077735,9.673044242118817,12.0,1,31,94364.0,0.0,2,24,8.11,235945.29101592407,0
106.8457819477436,187.68699455930567,21.526505601676483,24.0,0,42,15846.400000000001,0.0,5,23,21.34,48571.38172613975,0
251.93539016752172,901.9958531220568,6.0297589716252595,48.0,0,50,52025.600000000006,112618.3787076548,2,17,26.99,202651.71495562195,0
0.0,0.0,15753.937552854506,60.0,0,21,226154.92798477827,0.0,9,1,13.34,439430.6469669607,1
0.0,0.0,16857.59883965104,24.0,0,60,102348.00930149564,0.0,10,0,20.14,311504.2903513197,1
0.0,0.0,8332.410295843363,36.0,0,52,48691.548614363004,0.0,16,1,21.99,288470.62852627656,1
0.0,0.0,15292.158618332827,60.0,0,16,214183.51758475462,0.0,43,1,11.24,610126.6875696407,1
337.9584451230666,1387.877011651662,17.362835598551214,48.0,0,58,89900.8,714564.9568207572,3,11,21.97,237872.95718551648,0
0.0,0.0,6891.307680468832,24.0,0,11,29924.544395402005,39608.88585116273,2,1,8.01,132801.27806910433,1
0.0,0.0,12829.86776671957,48.0,0,8,118234.38073976534,0.0,46,1,9.01,303904.0138509746,1
438.03697233421946,1744.8635019683088,48.82066251793915,12.0,0,58,97644.90000000001,29308.456003943917,1,6,24.55,322988.5805301626,0
467.08286074901054,758.2783838360705,33.94657657443261,60.0,0,20,98334.40000000001,0.0,11,34,23.6,239440.1569638044,0
253.30179845993231,1319.2340353067866,14.845175397447901,48.0,0,10,5212.700000000001,3172.0983275319345,9,10,22.28,15198.18316754692,0
346.22915814235216,104.76463586598027,45.99209736482418,36.0,0,48,47082.3,0.0,5,36,12.35,67411.13221818994,0
0.0,0.0,13214.981732140768,60.0,0,51,178154.15983139243,160410.72015086567,6,1,12.06,387563.2250384316,1
465.9816017360087,152.14635977970147,41.729951174719325,36.0,0,34,81698.5,0.0,7,19,25.34,184090.2707808793,0
497.45176555716597,1319.836415375014,1.3762503710206209,60.0,0,57,85700.20000000001,487084.48352110037,15,27,26.26,292311.6372967255,0
451.11955591848755,1160.266291570808,39.97114803230136,48.0,0,45,30289.0,163485.6239801573,4,25,28.0,65526.5166277297,0
480.0374831645968,1018.4809849151243,7.34189757526364,48.0,0,6,81337.20000000001,0.0,7,7,16.63,146055.9592361436,0
0.0,0.0,7754.8248067741515,24.0,0,14,46219.72303103455,12246.42199956368,4,1,14.15,141843.83472478506,1
292.722236745184,1520.722149400361,33.71749357589753,60.00000000000001,0,38,73136.6,0.0,7,29,24.39,94211.22619133959,0
0.0,0.0,9988.037019518782,48.0,0,40,126753.5100516203,154524.32792946964,8,0,19.01,338352.79805690405,1
0.0,0.0,64331.81145601929,12.0,0,30,237407.70781222265,0.0,1,0,10.12,756407.599999445,1
67.33693923374949,814.691773361865,3.1480534690831954,60.0,0,56,26314.2,0.0,8,6,27.85,37316.76856405529,0
0.0,0.0,40154.607544282815,12.0,0,28,55773.425127940834,0.0,2,1,15.61,417605.0640413024,1
221.42813148838817,548.8230097616788,28.68117252746123,12.0,0,3,19008.600000000002,151007.99367463935,3,21,23.14,50409.462600835905,0
451.826055218248,1106.3670906383652,3.5910333302075212,12.0,0,50,54533.3,0.0,24,14,24.47,119405.00438276332,0
390.7422095720916,1970.1219270468532,27.92595183307332,12.0,0,34,51873.200000000004,262069.07159694974,8,14,24.03,160223.5277507664,0
185.89489427935953,1982.6769181136272,23.42083139956622,48.0,0,48,83833.40000000001,0.0,11,28,26.3,299264.5353515032,0
0.0,0.0,27239.869013685224,24.0,0,34,170897.97780932277,0.0,2,1,10.45,549817.9212801241,1
0.0,0.0,66588.44774281059,12.0,0,59,213114.7871088526,319157.90142547025,9,1,18.98,430620.95084809273,1
0.0,0.0,28577.18896525385,24.0,0,47,97209.68992583783,0.0,11,0,21.12,668631.4024125071,1
156.12273821728778,1878.372845374737,31.027635698580458,48.0,0,46,61709.600000000006,29257.844573129893,6,6,25.17,82913.02840379452,0
0.0,0.0,17578.243161728293,36.0,0,20,143528.62852885845,193557.10577424074,6,1,21.14,296407.9685265168,1
0.0,0.0,9752.863823362957,48.0,0,46,88817.23345010831,0.0,1,0,15.3,460786.49850894,1
0.0,0.0,21955.912189506606,24.0,0,31,76002.08226090384,222908.34327267818,4,1,17.55,487820.85412040935,1
355.39903428593095,1758.0592969029522,16.59930335684978,12.0,1,54,41702.700000000004,255125.1715638145,4,8,25.04,132956.5624120791,0
0.0,0.0,40442.762364610724,24.0,0,30,240647.74308036282,667578.4049948162,3,0,8.28,446738.0240255819,1
203.72625203438346,1070.1106992831901,19.732744122074426,12.0,0,57,28673.5,0.0,12,34,11.55,69112.97521295717,0
0.0,0.0,32099.57525126124,36.0,0,26,101752.4125627393,8070.637434533675,9,0,14.25,563385.0299309312,1
493.3172227062084,266.3110660148965,28.067096458987645,12.0,0,32,80051.5,0.0,7,24,27.98,94800.99300916227,0
207.41101221766402,1008.4450739011761,5.5528197728870134,12.0,0,17,86323.3,236753.43943465114,33,30,22.38,228720.58283301588,0
0.0,0.0,30525.761131582225,24.0,0,28,144476.86887966495,72958.07221311647,11,1,12.71,432027.24798315665,1
0.0,0.0,12507.851273470891,60.0,0,51,225678.4563238899,0.0,1,1,11.2,684535.4106145548,1
364.7625864429003,1925.3173523240168,25.81507351705618,12.0,0,25,7592.400000000001,0.0,11,9,22.12,8836.277651077138,0
0.0,0.0,10452.192558638471,48.0,0,16,61850.72274431818,86472.71274766632,3,0,19.61,296447.18761738506,1
0.0,0.0,15520.93666601769,24.0,0,25,82762.27677409093,242597.2974470125,20,1,10.14,202436.74949168277,1
0.0,0.0,25282.0232027895,24.0,0,60,160862.87570082204,0.0,1,0,16.77,468063.5502835409,1
0.0,0.0,5469.216564746119,48.0,0,14,76972.67998078339,0.0,9,0,21.16,208517.25207169406,1
0.0,0.0,14421.914448253145,12.0,0,17,17763.864144179806,0.0,12,1,11.89,93244.95492243423,1
0.0,0.0,64862.934939255174,12.0,0,47,194694.4798442654,136025.55486235797,9,1,7.15,458142.34948783944,1
148.7194476979767,1629.6908530689807,39.765985352682975,12.0,1,31,98964.40000000001,184645.059818605,11,28,11.29,242258.7588119708,0
0.0,0.0,35828.793056848524,24.0,0,43,217240.67309529943,0.0,1,0,21.34,457034.15815542213,1
0.0,0.0,25996.881957312322,24.0,0,26,124107.47798508141,0.0,4,0,18.2,328387.98260296363,1
0.0,0.0,6722.01239042451,24.0,0,34,28016.62960719934,0.0,16,0,14.56,130931.62690030028,1
0.0,0.0,1699.4299998256404,36.0,0,31,11921.551828677144,0.0,7,1,16.76,37834.39146217001,1
492.20345295452984,394.4601939752643,2.975216838977074,36.0,0,46,79539.5,267867.7117206891,10,34,22.81,244413.93542292668,0
0.0,0.0,14162.52353309248,48.0,0,60,137893.7984795277,0.0,11,0,18.35,580990.3810424804,1
218.3197990894357,454.9174338598994,23.908863971283917,36.0,0,25,36016.0,0.0,1,21,24.73,114647.03652344545,0
0.0,0.0,33695.87292671136,24.0,0,34,170651.32114122584,0.0,10,0,9.01,658415.3784373238,1
0.0,0.0,6631.703336535089,48.0,0,13,79127.24915166157,46740.34898350971,9,0,20.04,267483.7236882628,1
246.88205804324105,1836.9294931236564,32.471365104830326,48.0,0,41,20253.5,0.0,2,13,11.16,49425.9749852501,0
0.0,0.0,29880.770246958447,24.0,0,11,123025.05850552356,0.0,10,0,12.52,380520.15044292156,1
0.0,0.0,12449.986619784007,60.0,0,41,79318.3158106471,0.0,3,1,7.8,410199.35106075875,1
181.6116145675438,171.93141797896845,8.281350663983156,59.99999999999999,0,46,54151.9,0.0,9,11,25.11,69995.53992298908,0
0.0,0.0,2786.0254956781087,24.0,0,41,19740.204277419438,0.0,33,0,10.46,37674.8272680032,1
403.2113576971425,1847.5956000352544,4.332793989716944,48.0,0,54,91431.40000000001,501006.0875980319,4,28,27.24,153522.7333842047,0
309.7279388979004,1118.2370717417618,41.59365404337421,24.0,0,28,8130.3,0.0,4,14,13.96,28698.188098335406,0
0.0,0.0,15626.878699422756,59.99999999999999,0,45,244900.64803380324,301089.9308655998,8,0,15.5,689557.7743576939,1
0.0,0.0,7957.965709687013,48.0,0,8,52854.17001911437,0.0,1,0,15.77,268289.90702400514,1
0.0,0.0,10579.983450707221,60.0,0,12,84194.09653911344,322610.95763199124,5,1,16.0,504691.96619634435,1
0.0,0.0,78204.8799338191,12.0,0,24,281338.2103431612,369689.139772533,3,1,11.85,527753.3629808506,1
0.0,0.0,11278.73501449956,24.0,0,25,36456.32298745806,164882.65204040852,5,0,9.17,210455.0261221081,1
0.0,0.0,15698.612709232437,36.0,0,46,127442.37513903076,247874.30378160838,26,0,11.32,258377.98835108132,1
383.5562271797839,1019.8630552399638,33.702688566722195,36.0,1,21,69496.5,0.0,10,20,26.26,198055.57818359206,0
176.77435815912085,1464.2437247565815,43.81099360314937,36.0,0,21,41476.4,219832.39058274607,11,29,23.55,45762.35263704982,0
0.0,0.0,19232.381019145098,24.0,0,6,56592.51689057734,18681.816489950517,2,1,8.56,271520.78692370286,1
