customer_id,week_number,risk_score_at_trigger,intervention_type,channel,status,outcome,top_signal
CUS-10007,1,0.4018,MONITOR_ONLY,SMS,SENT,PENDING,gambling_spend_7d
CUS-10007,2,0.4612,MONITOR_ONLY,SMS,SENT,RECOVERED,atm_withdrawal_count_7d
CUS-10007,6,0.4696,MONITOR_ONLY,EMAIL,IGNORED,PENDING,gambling_spend_7d
CUS-10007,8,0.4121,SMS_OUTREACH,APP,SENT,NO_ACTION,credit_utilization
CUS-10007,13,0.4623,MONITOR_ONLY,APP,SENT,NO_ACTION,gambling_spend_7d
CUS-10007,14,0.4549,SMS_OUTREACH,EMAIL,OPENED,PENDING,utility_payment_delay_days
CUS-10007,15,0.6466,RESTRUCTURING_OFFER,APP,OPENED,PENDING,utility_payment_delay_days
CUS-10007,17,0.5826,SMS_OUTREACH,APP,SENT,NO_ACTION,utility_payment_delay_days
CUS-10007,18,0.4047,SMS_OUTREACH,CALL,DELIVERED,PENDING,credit_utilization
CUS-10007,20,0.5471,SMS_OUTREACH,EMAIL,OPENED,PENDING,gambling_spend_7d
CUS-10007,24,0.5013,SMS_OUTREACH,SMS,IGNORED,PENDING,gambling_spend_7d
CUS-10007,25,0.6045,FINANCIAL_COUNSELING,SMS,SENT,NO_ACTION,lending_upi_count_7d
CUS-10007,26,0.6239,FINANCIAL_COUNSELING,EMAIL,SENT,RECOVERED,savings_wow_delta_pct
CUS-10007,27,0.5249,SMS_OUTREACH,EMAIL,OPENED,PENDING,savings_wow_delta_pct
CUS-10007,29,0.6492,SMS_OUTREACH,EMAIL,SENT,NO_ACTION,credit_utilization
CUS-10007,31,0.5108,SMS_OUTREACH,EMAIL,IGNORED,NO_ACTION,lending_upi_count_7d
CUS-10007,32,0.5426,SMS_OUTREACH,SMS,OPENED,RECOVERED,failed_autodebit_count
CUS-10007,33,0.5839,FINANCIAL_COUNSELING,EMAIL,IGNORED,NO_ACTION,credit_utilization
CUS-10007,36,0.6495,RESTRUCTURING_OFFER,SMS,SENT,RECOVERED,lending_upi_count_7d
CUS-10007,37,0.5625,SMS_OUTREACH,APP,ACTED_UPON,RECOVERED,savings_wow_delta_pct
CUS-10007,38,0.4789,SMS_OUTREACH,CALL,IGNORED,PENDING,salary_delay_days
CUS-10007,39,0.5961,SMS_OUTREACH,APP,SENT,NO_ACTION,lending_upi_count_7d
CUS-10007,41,0.6485,RESTRUCTURING_OFFER,EMAIL,OPENED,RECOVERED,lending_upi_count_7d
CUS-10007,44,0.5677,SMS_OUTREACH,EMAIL,SENT,NO_ACTION,failed_autodebit_count
CUS-10007,47,0.6614,RESTRUCTURING_OFFER,EMAIL,OPENED,RECOVERED,credit_utilization
CUS-10007,48,0.5942,RESTRUCTURING_OFFER,EMAIL,DELIVERED,RECOVERED,lending_upi_count_7d
CUS-10015,6,0.5167,SMS_OUTREACH,SMS,ACTED_UPON,RECOVERED,credit_utilization
CUS-10015,9,0.484,MONITOR_ONLY,SMS,IGNORED,PENDING,salary_delay_days
CUS-10015,10,0.4795,MONITOR_ONLY,APP,IGNORED,NO_ACTION,savings_wow_delta_pct
CUS-10015,13,0.494,SMS_OUTREACH,APP,OPENED,NO_ACTION,gambling_spend_7d
CUS-10015,15,0.6152,RESTRUCTURING_OFFER,EMAIL,ACTED_UPON,RECOVERED,lending_upi_count_7d
CUS-10015,16,0.5276,SMS_OUTREACH,APP,OPENED,NO_ACTION,gambling_spend_7d
CUS-10015,17,0.58,SMS_OUTREACH,APP,SENT,PENDING,savings_wow_delta_pct
CUS-10015,21,0.5382,SMS_OUTREACH,CALL,SENT,RECOVERED,lending_upi_count_7d
CUS-10015,22,0.5174,SMS_OUTREACH,SMS,DELIVERED,RECOVERED,savings_wow_delta_pct
CUS-10015,24,0.7091,RM_CALL,APP,DELIVERED,NO_ACTION,utility_payment_delay_days
